Register Name,Field Name,Bits,Type,Reset Value,Description,Note
BRIDGE_IDENTIFICATION_REG,,,,,,
,IDENTIFICATION_ID,  31:0,ro,0xC3A89FE1,Unique number for Bridge Identification,
BRIDGE_POSITION_REG,,,,,,0x1 : To show this is the last bridge; 0x0 : To show there are still bridges connected to next offset
,RESERVED,  31:1,ro,0x0,,
,LAST_BRIDGE,0,ro,0x0,To Indicate that current bridge is the Last bridge in the design,
VERSION_REG                        ,,,,,,
,RESERVED,  31:16,ro,0x0,,Current value of Bridge version is 0x0100
,MAJOR_VER,  15:8,ro,0x1,,
,MINOR_VER,  7:0,ro,0X0,,
BRIDGE_TYPE_REG,,,,,,
,RESERVED,  31:8,ro,0x0,,
,TYPE,  7:0,ro,NA,"TYPE :
0x0 : AXI3 Bridge in Master Mode
0x1 : AXI3 Bridge in Slave Mode
0x2 : AXI4 Bridge in Master Mode
0x3 : AXI4 Bridge in Slave Mode
0x4 : AXI4-lite Bridge in Master Mode
0x5 : AXI4-lite Bridge in Slave Mode
0x6 : AXI4-Stream Bridge in Master Mode
0x7 : AXI4-Stream Bridge in Slave Mode
0x8 : ACE Bridge in Master Mode
0x9 : ACE Bridge in Slave Mode",
MODE_SELECT_REG,,,,,,
,RESERVED,  31:1,rw,0x0,,
,MODE_0_1,0,rw,0x0,"Mode_0_1: this bit selects the HW Bridge�s mode of operation.

0: mode_0 register access mode is selected. ;

1: mode_1 Indirect DMA mode is selected. ;",
RESET_REG,,,,,,
,RESERVED, 31:5,rw,0x1,,
,DUT_SRST_3,4,rw,0x1,,
,DUT_SRST_2,3,rw,0x1,,
,DUT_SRST_1,2,rw,0x1,,
,DUT_SRST_0,1,rw,0x1,DUT_SRST_N : Reset for DUT. Software needs to assert and de-assert the reset based on DUT reset requirement.,
,SRST,0,rw,0x1,SRST : Soft reset for Bridge IP. It is Active Low reset. Self Clear Register.,
H2C_INTR_0_REG,,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
",
,H2C_30,30,rw,0x0,,
,H2C_29,29,rw,0x0,,
,H2C_28,28,rw,0x0,,
,H2C_27,27,rw,0x0,,
,H2C_26,26,rw,0x0,,
,H2C_25,25,rw,0x0,,
,H2C_24,24,rw,0x0,,
,H2C_23,23,rw,0x0,,
,H2C_22,22,rw,0x0,,
,H2C_21,21,rw,0x0,,
,H2C_20,20,rw,0x0,,
,H2C_19,19,rw,0x0,,
,H2C_18,18,rw,0x0,,
,H2C_17,17,rw,0x0,,
,H2C_16,16,rw,0x0,,
,H2C_15,15,rw,0x0,,
,H2C_14,14,rw,0x0,,
,H2C_13,13,rw,0x0,,
,H2C_12,12,rw,0x0,,
,H2C_11,11,rw,0x0,,
,H2C_10,10,rw,0x0,,
,H2C_9,9,rw,0x0,,
,H2C_8,8,rw,0x0,,
,H2C_7,7,rw,0x0,,
