Register Name,Address Offset,Type,Reset Value,Description,Note
,,,,,
General Config and Status,,,,,
BRIDGE_IDENTIFICATION_REG,0x0,ro,0xC3A89FE1,Unique number for Bridge Identification,
BRIDGE_POSITION_REG,0x4,ro,0x0,To Indicate that current bridge is the Last bridge in the design,0x1 = To show this is the last bridge; 0x0 = To show there are still bridges connected to next offset
VERSION_REG,0x20,ro,0x0100,Bridge IP version,
BRIDGE_TYPE_REG,0x24,ro,NA ,Type of Bridge ,The reset value changes based on design parameters
MODE_SELECT_REG,0x38,rw,0x0,Mode Selection,
RESET_REG,0x3C,rw,0xFFFF,Reset Register,
H2C_INTR_0_REG,0x40,rw,0x0,Host to Card Interrupt Generation,
H2C_INTR_1_REG,0x44,rw,0x0,Host to Card Interrupt Generation,
H2C_INTR_2_REG,0x48,rw,0x0,Host to Card Interrupt Generation,
H2C_INTR_3_REG,0x4C,rw,0x0,Host to Card Interrupt Generation,
C2H_INTR_STATUS_0_REG,0x60,ro,0x0,Card to Host Interrupt Status,
INTR_C2H_TOGGLE_STATUS_0_REG,0x64,ro,0x0,To indicate any change in C2H INTR status bits. ,For every change 0->1 or 1->0 respective bits will be asserted to 1
INTR_C2H_TOGGLE_CLEAR_0_REG,0x68,w1sraz,0x0,Card to Host Interrupt Toggle Clear,
INTR_C2H_TOGGLE_ENABLE_0_REG,0x6C,rw,0x0,Card to Host Interrupt Enable,
C2H_INTR_STATUS_1_REG,0x70,ro,0x0,To indicate any change in C2H INTR status bits. ,For every change 0->1 or 1->0 respective bits will be asserted to 1
INTR_C2H_TOGGLE_STATUS_1_REG,0x74,ro,0x0,Card to Host Interrupt Toggle Status,
INTR_C2H_TOGGLE_CLEAR_1_REG,0x78,w1sraz,0x0,Card to Host Interrupt Toggle Clear,
INTR_C2H_TOGGLE_ENABLE_1_REG,0x7C,rw,0x0,Card to Host Interrupt Enable,
C2H_GPIO_0_REG,0x80,ro,0x0,To monitor 32-bit GPIO from FPGA,"Currently, only register-0 to register-7  are valid. Other registers are for future enhacement"
C2H_GPIO_1_REG,0x84,ro,0x0,To monitor 32-bit GPIO from FPGA,
C2H_GPIO_2_REG,0x88,ro,0x0,To monitor 32-bit GPIO from FPGA,
C2H_GPIO_3_REG,0x8C,ro,0x0,To monitor 32-bit GPIO from FPGA,
C2H_GPIO_4_REG,0x90,ro,0x0,To monitor 32-bit GPIO from FPGA,
C2H_GPIO_5_REG,0x94,ro,0x0,To monitor 32-bit GPIO from FPGA,
C2H_GPIO_6_REG,0x98,ro,0x0,To monitor 32-bit GPIO from FPGA,
C2H_GPIO_7_REG,0x9C,ro,0x0,To monitor 32-bit GPIO from FPGA,
C2H_GPIO_8_REG,0xA0,ro,0x0,To monitor 32-bit GPIO from FPGA,Reserved for future use.
C2H_GPIO_9_REG,0xA4,ro,0x0,To monitor 32-bit GPIO from FPGA,Reserved for future use.
C2H_GPIO_10_REG,0xA8,ro,0x0,To monitor 32-bit GPIO from FPGA,Reserved for future use.
C2H_GPIO_11_REG,0xAC,ro,0x0,To monitor 32-bit GPIO from FPGA,Reserved for future use.
