Register Name,Field Name,Bits,TD1:F342ype,Reset Value,Description
BRIDGE_IDENTIFICATION_REG,,,,,
,IDENTIFICATION_ID, 31:0,ro,0XC3A89FE1,To indicate a unique number at BAR 0 + 0x0 location for Bridge Discovery
BRIDGE_LAST_REG,,,,,
,RESERVED, 31:1,ro,0x0,
,LAST_BRIDGE,0,ro,0x0,To indicate that this is the last bridge in the Bridge Discovery
VERSION_REG,,,,,
,RESERVED , 31:16,ro,0x0,
,MAJOR_VER, 15:8,ro,0X0,
,MINOR_VER,7:00,ro,0X0,
BRIDGE_TYPE_REG,,,,,
,RESERVED,  31:8,ro,0x0,
,TYPE,7:00,ro,0xB,"0X0 : AXI3 Bridge in Master Mode
0x1 : AXI3 Bridge in Slave Mode
0x2 : AXI4 Bridge in Master Mode
0x3 : AXI4 Bridge in Slave Mode
0x4: AXI4-Lite Bridge in Master Mode
0x5: AXI4-Lite Bridge in Slave Mode
0x6: AXI4-Stream Bridge in Master Mode
0x7: AXI4-Stream Bridge in Slave Mode
0x8 : ACE Bridge in Master Mode 
0x9: ACE Bridge in InterConnect Mode
0xA: CHI Bridge in RN_F Mode
0xB: CHI Bridge in HN_F Mode
"
CHI_BRIDGE_FLIT_CONFIG_REG,,,,,
,RESERVED, 31:23,ro,0x0,
,OPCODE_WIDTH, 22:20,ro,0x3,"OPCODE WIDTH REVB:3,REV C: 4-DEFAULT VALUE 3 "
,FLIT_DATA_WIDTH, 19:10,ro,0x200,FLIT DATA WIDTH : DEFAULT VALUE 512
,REQ_ADDR_WIDTH, 9:4,ro,0x30,ADDRESS WIDTH :DEFAULT  VALUE 48
,NODE_ID_WIDTH, 3:0,ro,0x7,NODE ID WIDTH: DEFAULT VALUE 7
CHI_BRIDGE_FEATURE_EN_REG,,,,,
,RESERVED, 31:9,ro,0x0,
,ENHANCE_FEATURE_EN, 8:8,ro,0x0,ENHANCED FEATURE ENABLE DEFAULT:0
,CCF_WRAP_ORDER, 7:7,ro,0x0,CCF WRAP ORDER DEFAULT :0
,DATA_CHECK_EN, 6:6,ro,0x0,DATA CHECK ENABLE DEFAULT:0
,DATA_POISON_EN, 5:5,ro,0x0,DATA POISON ENABLE :DEFAULT :0
,STASHING_EN, 4:4,ro,0x0,STASHING ENABLE DEFAULT :0
,ATOMIC_EN, 3:3,ro,0x0,ATOMIC ENABLE DEFAULT :0
,DCT_EN, 2:2,ro,0x0,DIRECT CACHE TRANSFER ENABLE DEFAULT:0
,DMT_ENA, 1:1,ro,0x0,DIRECT MEMORY TRANSFER DEFAULT: 0
,CHI_VERSION, 0:0,ro,0x0,"CHI VERSION,REV B:0, REV C : 1"
RESET_REG,,,,,
,DUT_SRST, 31:1,rw,0x7FFFFFFF,DUT_SRST_N : Reset for DUT. Software needs to assert and de-assert the reset based on DUT reset requirement.
,SRST,0,rw,0x1,SRST : Soft reset for Bridge IP. Self-clear after N clock cycles.
MODE_SELECT_REG,,,,,
,RESERVED,  31:1,rw,0x0,
,MODE_0_1,0,rw,0x0,"Mode Select Register, Currently only Mode 0 is supported"
CHI_BRIDGE_CONFIGURE_REG,,,,,
,RESERVED, 31:1,rw,0x0,
,BRIDGE_CONF, 0:0,rw,0x0,Bridge configured bit programmed by software
CHI_BRIDGE_RXREQ_REFILL_CREDITS_REG,,,,,
,RESERVED, 31:5,ro,0x0,
,SET_CREDITS,  4:4,w1sraz,0x0,"Programmed for setting credit value, this bit is auto-clear."
,RXREQ_REFILL_CREDITS,  3:0,rw,0xF,Number of Credits to be sent on RXREQ Channel
CHI_BRIDGE_RXRSP_REFILL_CREDITS_REG,,,,,
,RESERVED, 31:5,ro,0x0,
,SET_CREDITS, 4:4,w1sraz,0x0,"Programmed for setting credit value, this bit is auto-clear."
,RXRSP_REFILL_CREDITS,  3:0,rw,0xF,Number of Credits to be sent on RXRSP Channel
CHI_BRIDGE_RXDAT_REFILL_CREDITS_REG,,,,,
,RESERVED, 31:5,ro,0x0,
,SET_CREDITS, 4:4,w1sraz,0x0,"Programmed for setting credit value, this bit is auto-clear."
,RXDAT_REFILL_CREDITS, 3:0,rw,0xF,Number of Credits to be sent on RXDAT Channel
CHI_BRIDGE_LOW_POWER_REG,,,,,
,RESERVED, 31:1,ro,0x0, 
,LOW_POWER_EN, 0:0,rw,0X0,Low Power Enable CHI when there are no flits to send.
CHI_BRIDGECOHERENT_REQ_REG,,,,,
,RESERVED, 31:4,ro,0x0,
,SYSCOREQ_HN, 3:3,ro,0x0,SYSCOREQ request read from DUT in HN_F Mode
,SYSCOACK_RN, 2:2,ro,0X0,SYSCOACK read by software in response to SYSCOREQ request sent.
,SYSCOACK_HN,  1:1,rw,0X0,SYSCOACK sent by hn_f bridge upon receiving SYSCOREQ request from DUT.
,SYSCOREQ_RN, 0:0,rw,0X0,SYSCOREQ request set by software while sending coherent flits
CHI_BRIDGE_CHN_TX_STS_REG,,,,,
,RESERVED, 31:6,ro,0x0,
,CHN_TX_STS,5,ro,0x0,TXSNP Channel has credits available and ready to transmit FLITS
,,4,ro,0x0,TXRSP Channel has credits available and ready to transmit FLITS
,,3,ro,0x0,TXDAT Channel has credits available and readu to transmit FLITs
,, 2:0,ro,0x0,Transmit Link Status
CHI_BRIDGE_CHN_RX_STS_REG,,,,,
,RESERVED, 31:6,ro,0x0,
,CHN_RX_STS,5,ro,0x0,RXREQ Channel link is UP and it has sent Credits.
,,4,ro,0x0,RXRSP Channel link is UP and it has sent Credits.
,,3,ro,0x0,RXDAT Channel link is UP and it has sent Credits.
,, 2:0,ro,0x0,Receive Link Status
INR_STATUS_REG,,,,,
,RESERVED, 31:3,ro,0x0,
,C2H,2,ro,0x0,"C2H� :�This field is set if any of�INTR_C2H_STATUS_REG bits are set.�
SW to read INTR_C2H_STATUS_REG to decode which interrupt occurred."
,ERROR,1,ro,0x0,"ERROR: Interrupt for system error scenario. 
These are not related to any particular transaction.
 SW to read INTR_ERROR_STATUS_REG�to decode type of error.�"
,FLIT_TXN,0,ro,0x0,"FLIT_TXN: This field is set if any of�INTR_FLIT_TXN_STATUS_REG bits are set.
Interrupt for completion of transmit or receive data gathered
SW to read INTR_FLIT_TXN_STATUS_REG to decode "
INTR_ERROR_STATUS_REG,,,,, 
,RESERVED, 31:3,ro,0x0,
,ERR_2,2,ro,0x0,Not required for CHI Bridges
,ERR_1,1,ro,0x0,Not required for CHI Bridges
,ERR_0,0,ro,0x0,Not required for CHI Bridges
