Register Name,Field Name,Bits,Type,Reset Value,Description,Note
BRIDGE_IDENTIFICATION_REG,,,,,,
,IDENTIFICATION_ID,  31:0,ro,0xC3A89FE1,Unique number for Bridge Identification,
BRIDGE_POSITION_REG,,,,,,
,RESERVED,  31:2,ro,0x0,,
,PCIE_LAST_BRIDGE,1,ro,0x0,Indicate that current bridge is the Last PCIe-AXI bridge (applicable in case of PCIe-AXI Bridge only),0x1 : To show this is the last PCIe-AXI bridge;  0x0 : To show there are still PCIe-AXI bridges connected to next offset
,LAST_BRIDGE,0,ro,0x0,To Indicate that current bridge is the Last bridge in the design,0x1 : To show this is the last bridge;  0x0 : To show there are still bridges connected to next offset
VERSION_REG                        ,,,,,,
,RESERVED,  31:16,ro,0x0,,Current value of Bridge version is 0x0100
,MAJOR_VER,  15:8,ro,0x1,,
,MINOR_VER,  7:0,ro,0X0,,
BRIDGE_TYPE_REG,,,,,,
,RESERVED,  31:8,ro,0x0,,
,TYPE,  7:0,ro,NA,"0X0 : AXI3 Bridge in Master Mode
0x1 : AXI3 Bridge in Slave Mode
0x2 : AXI4 Bridge in Master Mode
0x3 : AXI4 Bridge in Slave Mode
0x4: AXI4-Lite Bridge in Master Mode
0x5: AXI4-Lite Bridge in Slave Mode
0x6: AXI4-Stream Bridge in Master Mode
0x7: AXI4-Stream Bridge in Slave Mode
0x8 : ACE Bridge in Master Mode 
0x9: ACE Bridge in Slave Mode
0xA: CHI Bridge in RN_F Mode
0xB: CHI Bridge in HN_F Mode
0xC: CXS Bridge
0x12: PCIe-AXI Master Bridge (AXI4 mode)
0x13: PCIe-AXI Slave Bridge (AXI4 mode)
0x14: PCIe-AXI Master Bridge (AXI4-Lite mode)
0x15: PCIe-AXI Slave Bridge (AXI4-Lite mode)",
MODE_SELECT_REG,,,,,,
,RESERVED,  31:3,rw,0x0,,
,IMM_BRESP,2,rw,0x0,"IMM_BRESP : This field is only valid for Host slave WR mode.

0 : Wait for response from Host. ;

1 : Generate immediate BRESP to DUT ;",
,RESERVED,1,rw,0x0,,
,MODE_0_1,0,rw,0x0,"Mode_0_1: this bit selects the HW Bridge’s mode of operation.

0: mode_0 register access mode is selected. ;

1: mode_1 Indirect DMA mode is selected. ;",
RESET_REG,,,,,,
,RESERVED, 31:5,rw,0x1,,
,DUT_SRST_3,4,rw,0x1,,
,DUT_SRST_2,3,rw,0x1,,
,DUT_SRST_1,2,rw,0x1,,
,DUT_SRST_0,1,rw,0x1,DUT_SRST_N : Reset for DUT. Software needs to assert and de-assert the reset based on DUT reset requirement.,
,SRST,0,rw,0x1,SRST : Soft reset for Bridge IP. It is Active Low reset. Self Clear Register.,
H2C_INTR_0_REG,,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
",
,H2C_30,30,rw,0x0,,
,H2C_29,29,rw,0x0,,
